"Studien_jahr","Studie","Label","Wert","Wert_low","Wert_upp","n","var","sex","SDcasmin","agegr","bula","Fallzahl_gesamt","typ","stand","var_label","Indikator","Substrata"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.194,0.1691,0.2215,339,"PAadi","Männlich","Mittlere Bildung","65-79 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1282,0.0958,0.1696,66,"PAadi","Männlich","Mittlere Bildung",">=80 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1123,0.0893,0.1404,97,"PAadi","Weiblich","Mittlere Bildung","18-29 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1868,0.1615,0.2151,248,"PAadi","Weiblich","Mittlere Bildung","30-44 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.2085,0.1931,0.2248,954,"PAadi","Weiblich","Mittlere Bildung","45-64 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1949,0.1763,0.2149,547,"PAadi","Weiblich","Mittlere Bildung","65-79 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1163,0.0942,0.1428,120,"PAadi","Weiblich","Mittlere Bildung",">=80 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.0738,0.0476,0.1127,34,"PAadi","Männlich","Höhere Bildung","18-29 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1141,0.0966,0.1343,196,"PAadi","Männlich","Höhere Bildung","30-44 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1537,0.1394,0.1692,501,"PAadi","Männlich","Höhere Bildung","45-64 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.151,0.1359,0.1675,391,"PAadi","Männlich","Höhere Bildung","65-79 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.0826,0.0662,0.1027,92,"PAadi","Männlich","Höhere Bildung",">=80 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.0496,0.0301,0.0807,25,"PAadi","Weiblich","Höhere Bildung","18-29 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.0793,0.065,0.0963,141,"PAadi","Weiblich","Höhere Bildung","30-44 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1177,0.1055,0.1312,389,"PAadi","Weiblich","Höhere Bildung","45-64 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1462,0.13,0.164,297,"PAadi","Weiblich","Höhere Bildung","65-79 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.0922,0.067,0.1256,53,"PAadi","Weiblich","Höhere Bildung",">=80 Jahre","Deutschland",43841,"Kat",0,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1289,0.1196,0.1389,938,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",8146,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1983,0.1856,0.2116,1011,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",5465,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1583,0.1513,0.1656,2791,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",20838,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1571,0.1504,0.1641,2931,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",21591,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1627,0.155,0.1708,2951,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",18902,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1802,0.1741,0.1864,4049,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",23791,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1875,0.1795,0.1959,3875,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",22414,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.152,0.1339,0.172,484,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",2941,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1915,0.1854,0.1978,7567,"PAadi","Gesamt","Gesamt","Gesamt","Deutschland",43981,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1299,0.1166,0.1445,469,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",8146,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1279,0.1152,0.1418,469,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",8146,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1977,0.179,0.2179,480,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",5465,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1989,0.1823,0.2167,531,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",5465,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1632,0.1528,0.1742,1294,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",20838,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1533,0.1442,0.1629,1497,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",20838,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1599,0.15,0.1703,1369,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",21591,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1543,0.1454,0.1637,1562,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",21591,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1671,0.156,0.1788,1504,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",18902,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1583,0.1477,0.1695,1447,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",18902,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1829,0.174,0.1922,1906,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",23791,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1775,0.1694,0.1859,2143,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",23791,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1899,0.1782,0.202,1915,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",22414,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1852,0.1742,0.1967,1960,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",22414,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1434,0.1196,0.1711,225,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",2941,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1609,0.1348,0.191,259,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",2941,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1983,0.1895,0.2075,3717,"PAadi","Männlich","Gesamt","Gesamt","Deutschland",43981,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1845,0.1762,0.1931,3850,"PAadi","Weiblich","Gesamt","Gesamt","Deutschland",43981,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1629,0.1461,0.1812,437,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",7986,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1082,0.095,0.123,359,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",7986,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.0755,0.0615,0.0923,134,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",7986,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.2475,0.2245,0.272,361,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",5456,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1891,0.1692,0.2108,444,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",5456,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1622,0.1376,0.1902,204,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",5456,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.2066,0.1929,0.221,1068,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",20809,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1437,0.1331,0.1549,1261,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",20809,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.0849,0.0761,0.0946,461,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",20809,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.2053,0.1916,0.2197,1094,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",21566,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1381,0.1286,0.1482,1270,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",21566,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.0901,0.082,0.0989,564,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",21566,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.2109,0.1925,0.2307,981,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",18879,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1456,0.1357,0.1561,1304,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",18879,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1013,0.0924,0.111,665,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",18879,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.2399,0.2243,0.2563,1311,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",23740,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1743,0.166,0.1829,2141,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",23740,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1026,0.0934,0.1127,590,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",23740,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.2618,0.2378,0.2873,1080,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",22361,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1771,0.1663,0.1883,1769,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",22361,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1044,0.0969,0.1125,1017,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",22361,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1829,0.1191,0.2702,106,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",2932,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1442,0.1215,0.1703,215,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",2932,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1191,0.0985,0.1434,160,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",2932,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.2669,0.2475,0.2872,1815,"PAadi","Gesamt","Einfache Bildung","Gesamt","Deutschland",43841,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1881,0.1802,0.1964,3605,"PAadi","Gesamt","Mittlere Bildung","Gesamt","Deutschland",43841,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1118,0.1057,0.1182,2119,"PAadi","Gesamt","Höhere Bildung","Gesamt","Deutschland",43841,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.0294,0.0201,0.0428,37,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",8146,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1035,0.0904,0.1182,256,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",8146,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1864,0.1688,0.2055,462,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",8146,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1627,0.137,0.1921,168,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",8146,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2002,"GSTel03","Adipositas (BMI >= 30)",0.1121,0.0643,0.1882,15,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",8146,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.0777,0.0613,0.0979,73,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",5465,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1411,0.1249,0.1589,259,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",5465,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.2502,0.2295,0.2722,442,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",5465,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.3035,0.2682,0.3414,222,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",5465,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2006,"GSTel06","Adipositas (BMI >= 30)",0.1946,0.109,0.3232,15,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",5465,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.0628,0.0534,0.0736,212,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",20838,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1213,0.1103,0.1333,619,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",20838,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.2027,0.1901,0.2159,1244,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",20838,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.2266,0.2067,0.2478,648,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",20838,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2009,"GEDA09","Adipositas (BMI >= 30)",0.1469,0.1106,0.1925,68,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",20838,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.0565,0.0479,0.0666,192,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",21591,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1443,0.1324,0.157,714,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",21591,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.2002,0.1882,0.2127,1338,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",21591,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.199,0.1802,0.2191,601,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",21591,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2010,"GEDA10","Adipositas (BMI >= 30)",0.1458,0.1128,0.1864,86,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",21591,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.0698,0.0571,0.085,154,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",18902,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1439,0.1283,0.1609,509,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",18902,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1969,0.1834,0.211,1313,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",18902,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.2124,0.1942,0.2319,836,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",18902,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2012,"GEDA12","Adipositas (BMI >= 30)",0.1773,0.1409,0.2207,139,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",18902,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.0945,0.083,0.1073,319,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",23791,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.174,0.161,0.1878,822,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",23791,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.209,0.1989,0.2195,1748,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",23791,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.2255,0.2115,0.2402,995,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",23791,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",0.1665,0.1401,0.1967,165,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",23791,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.0966,0.0796,0.1168,170,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",22414,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1677,0.1512,0.1856,548,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",22414,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.2319,0.2177,0.2467,1752,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",22414,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.2313,0.214,0.2495,1168,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",22414,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2019,"GEDA2019","Adipositas (BMI >= 30)",0.1631,0.1357,0.1948,237,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",22414,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.0702,0.0356,0.1337,15,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",2941,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1093,0.0783,0.1505,63,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",2941,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.2022,0.1694,0.2396,214,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",2941,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.2047,0.1654,0.2505,151,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",2941,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2021,"GEDA2021","Adipositas (BMI >= 30)",0.1618,0.11,0.2316,41,"PAadi","Gesamt","Gesamt",">=80 Jahre","Deutschland",2941,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1142,0.1002,0.13,330,"PAadi","Gesamt","Gesamt","18-29 Jahre","Deutschland",43981,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.1881,0.174,0.2031,1007,"PAadi","Gesamt","Gesamt","30-44 Jahre","Deutschland",43981,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.2323,0.2218,0.2431,3292,"PAadi","Gesamt","Gesamt","45-64 Jahre","Deutschland",43981,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",0.2106,0.1996,0.2221,2281,"PAadi","Gesamt","Gesamt","65-79 Jahre","Deutschland",43981,"Kat",1,NA,"Übergewicht und Adipositas","Adipositas (BMI >= 30)"
