"Jahr","Studie","Label","Wert","UKI","OKI","Fallzahl","var","Geschlecht","Bildung","Altersgruppe","Region","Fallzahl_gesamt","typ","stand","var_label","Indikator","Kennzahl","Standardisierung","Achsenbeschriftung","cut","Farbcode","Legende","invalid1","invalid2","invalidFall"
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",14.22,11.12,18,71,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hamburg",585,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","[14.2,16.6]","1","14.2-16.6",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",19.61,11.89,30.6,39,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hamburg",271,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(19.5,23.4]","4","19.50-23.4",FALSE,TRUE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",13.89,9.36,20.13,39,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hamburg",359,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","[13.9,16.1]","1","13.9-16.1",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",20.39,14.95,27.19,84,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hamburg",488,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.3,21.1]","3","18.3-21.1",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",12.17,9.05,16.19,74,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hamburg",559,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","[12.2,15.4]","1","12.2-15.4",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",10.27,6.93,14.97,48,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hamburg",464,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(9.37,12.7]","3"," 9.37-12.70",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",12.42,8.83,17.2,62,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hamburg",513,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[12.2,14]","1","12.2-14.0",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",15.31,8.91,25.05,37,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hamburg",306,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.6,15.9]","2","13.6-15.9",FALSE,TRUE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",10.98,8.61,13.89,120,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hamburg",1002,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[11,12.9]","1","11.0-12.9",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",16.72,10.96,24.65,78,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hamburg",630,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[15.7,17.3]","1","15.7-17.3",FALSE,TRUE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",14.49,10.72,19.3,158,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hamburg",1046,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[14.5,16.2]","1","14.5-16.2",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",6.49,3.69,11.17,15,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hamburg",194,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[3.62,6.76]","1"," 3.62- 6.76",FALSE,TRUE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",13.88,8.4,22.09,33,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hamburg",270,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.4,17.3]","4","13.40-17.3",FALSE,TRUE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",11.68,7.72,17.28,32,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hamburg",233,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[11.7,13.3]","1","11.7-13.3",FALSE,TRUE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",13.06,7.78,21.1,30,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hamburg",280,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(11.7,14.8]","2","11.70-14.8",FALSE,TRUE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",14.15,6.63,27.64,18,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hamburg",145,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.7,16.5]","3","13.70-16.5",FALSE,TRUE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",16.53,7.54,32.47,19,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hamburg",161,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.8,17.1]","2","13.8-17.1",FALSE,TRUE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",10.15,7.21,14.11,49,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hamburg",420,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[10.2,12.8]","1","10.2-12.8",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",11.7,8.31,16.21,71,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hamburg",582,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[11.7,13.8]","1","11.7-13.8",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",20.95,11.26,35.63,39,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hamburg",271,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(17.6,21.5]","4","17.60-21.50",FALSE,TRUE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",12.97,7.98,20.39,39,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hamburg",359,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[13,17.2]","1","13.0-17.2",FALSE,TRUE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",19.86,13.43,28.35,84,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hamburg",488,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(17.8,20.4]","3","17.8-20.4",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",8.96,6.32,12.55,74,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hamburg",558,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[8.96,12.3]","1"," 8.96-12.3",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",13.15,11.04,15.58,177,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1591,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(10.1,13.3]","3","10.10-13.30",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",15.97,13.67,18.57,228,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1743,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(15.2,17]","3","15.2-17.0",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",15.7,13.38,18.33,220,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1545,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(15.4,17.6]","2","15.4-17.6",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",20.33,17.9,22.99,255,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1438,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.7,20.5]","4","18.7-20.5",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",18.12,15.57,20.99,249,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1410,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(16.7,18.4]","2","16.7-18.4",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",17.78,15.84,19.91,540,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",3269,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","[16.2,18.2]","1","16.2-18.2",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",12.91,10.06,16.42,81,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",699,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(10.6,13.7]","3","10.60-13.70",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",13.37,10.45,16.96,96,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",892,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(10.4,14]","3","10.40-14.00",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",17,13.71,20.87,115,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",779,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(15.2,17.1]","3","15.2-17.1",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",14.96,11.9,18.64,113,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",964,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(14.4,17.7]","3","14.40-17.7",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",16.38,13.23,20.12,116,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",762,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(14,16.4]","3","14.00-16.4",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",15.03,11.81,18.94,104,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",783,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(14.9,18]","2","14.9-18.0",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",20.87,17.28,24.99,117,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",649,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(19,21.3]","4","19.0-21.3",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",19.8,16.67,23.35,138,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",789,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.9,21.2]","3","18.9-21.2",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",16.92,13.44,21.1,117,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",689,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(15.6,19.5]","3","15.60-19.5",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",19.25,15.7,23.37,132,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",721,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.4,20.6]","3","18.4-20.6",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",16.95,14.31,19.97,264,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",1519,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(15.6,18.3]","2","15.6-18.3",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",18.59,15.85,21.68,276,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",1750,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(15.4,18.6]","2","15.4-18.6",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",11.63,9.69,13.91,177,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1590,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(9.37,12.7]","3"," 9.37-12.70",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",14.36,12.3,16.69,228,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1741,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(14,15.7]","2","14.0-15.7",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",14.09,11.91,16.59,220,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1545,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.6,15.9]","2","13.6-15.9",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",19.1,16.33,22.22,254,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1435,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(18.7,20.6]","5","18.7-20.6",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",16.16,13.57,19.15,248,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",1409,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[15.7,17.3]","1","15.7-17.3",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",16.18,13.84,18.84,537,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Hessen",3263,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[14.5,16.2]","1","14.5-16.2",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",12.19,9.37,15.72,81,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",698,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(9.9,13]","3"," 9.90-13.00",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",11.06,8.58,14.14,96,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",892,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(9.56,13.4]","3"," 9.56-13.4",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",15.51,12.55,19.02,115,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",779,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(14.9,16.5]","3","14.9-16.5",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",13.19,10.49,16.46,113,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",962,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(11.7,14.8]","2","11.70-14.8",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",15.51,12.42,19.21,116,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",762,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.7,16.5]","3","13.70-16.5",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",12.63,9.76,16.18,104,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",783,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","[10.4,13.8]","1","10.4-13.8",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",19.39,15.65,23.77,116,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",646,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(18.1,20.8]","4","18.1-20.8",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",18.82,14.93,23.45,138,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",789,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(17.9,19.9]","4","17.9-19.9",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",14.89,11.78,18.64,117,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",689,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(13.7,17.6]","3","13.70-17.60",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",17.45,13.49,22.26,131,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",720,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(17.2,21.3]","2","17.2-21.3",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",15.39,12.74,18.46,262,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Hessen",1515,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(15.1,17.8]","2","15.1-17.8",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",17.03,13.28,21.57,275,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Hessen",1748,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(15.6,18.9]","3","15.60-18.9",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",18,13.44,23.68,58,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",361,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(16.5,19.7]","5","16.50-19.70",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",18.81,14.12,24.61,63,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",360,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.8,20.6]","5","18.8-20.6",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",24.35,19.5,29.95,101,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",427,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(22.1,24.3]","5","22.1-24.3",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",22.14,19.19,25.4,209,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",1002,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(20.5,22.4]","5","20.5-22.4",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",22.37,16.89,29.01,88,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",413,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(21.7,23.3]","5","21.7-23.3",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",20.57,16.83,24.89,181,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",835,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(20.1,22.1]","3","20.1-22.1",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",18.81,11.94,28.36,25,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",148,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(16.7,19.7]","5","16.70-19.70",FALSE,TRUE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",17.2,11.9,24.2,33,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",213,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(14,17.6]","4","14.00-17.60",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",20.86,13.68,30.49,27,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",145,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(19,20.9]","5","19.0-20.9",FALSE,TRUE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",16.77,11.43,23.95,36,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",215,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(14.4,17.7]","3","14.40-17.7",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",21.27,15.18,28.96,44,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",208,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(18.8,21.3]","5","18.80-21.3",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",27.33,20.27,35.76,57,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",219,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(24.2,27.3]","5","24.2-27.3",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",21.25,17.29,25.83,104,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",487,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(19,21.3]","4","19.0-21.3",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",23,18.82,27.8,105,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",515,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(21.2,23.6]","4","21.2-23.6",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",22.79,15.25,32.61,42,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",183,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(19.5,23.4]","4","19.50-23.4",FALSE,FALSE,FALSE
2019,"GEDA2019","Adipositas (BMI >= 30)",21.96,14.66,31.56,46,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",230,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(20.6,22.8]","4","20.6-22.8",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",17.37,12.41,23.78,70,"PAadi","Männlich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",372,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(15.6,18.3]","2","15.6-18.3",FALSE,FALSE,FALSE
2022,"GEDA2022_T1-T13","Adipositas (BMI >= 30)",24.19,19,30.27,111,"PAadi","Weiblich","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",463,"Kat",0,NA,"Adipositas","Adipositas (BMI >= 30)","beobachtet","Anteil der Erwachsenen in %","(21.8,25]","4","21.8-25.0",FALSE,FALSE,FALSE
2009,"GEDA09","Adipositas (BMI >= 30)",15.96,11.56,21.62,58,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",361,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(12.7,16]","4","12.70-16.00",FALSE,FALSE,FALSE
2010,"GEDA10","Adipositas (BMI >= 30)",17.04,12.85,22.26,63,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",359,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(15.7,17.5]","3","15.7-17.5",FALSE,FALSE,FALSE
2012,"GEDA12","Adipositas (BMI >= 30)",22.8,17.56,29.05,101,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",426,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(20.5,22.8]","5","20.5-22.8",FALSE,FALSE,FALSE
2015,"GEDA2014/2015","Adipositas (BMI >= 30)",20.59,17.37,24.22,209,"PAadi","Gesamt","Gesamt","Alle Altersgruppen","Mecklenburg-Vorpommern",999,"Kat",1,NA,"Adipositas","Adipositas (BMI >= 30)","altersstandardisiert","Anteil der Erwachsenen in %","(18.7,20.6]","5","18.7-20.6",FALSE,FALSE,FALSE
